epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.869,1.3165,1.73515,1.25366,0.49353,0.35792,0.3594,0.20049,1.45685,1.64432,1.45962,0.000275765,0.000275765,0.000275765
2,308.195,1.40274,1.54028,1.32701,0.34743,0.33541,0.31121,0.17004,1.56381,1.90618,1.48749,0.000548866,0.000548866,0.000548866
3,458.667,1.46997,1.5974,1.3796,0.45579,0.36702,0.35277,0.19234,1.52457,1.91276,1.49992,0.000817385,0.000817385,0.000817385
4,608.924,1.45572,1.56675,1.38925,0.46968,0.3897,0.38014,0.2097,1.496,1.74865,1.48209,0.000812383,0.000812383,0.000812383
5,759.423,1.42292,1.48801,1.36816,0.52743,0.42172,0.42935,0.24718,1.4077,1.54474,1.40501,0.000805511,0.000805511,0.000805511
6,909.893,1.38099,1.36783,1.34066,0.52892,0.48472,0.47854,0.2811,1.38109,1.42366,1.36519,0.000798639,0.000798639,0.000798639
7,1060.49,1.35532,1.34021,1.31336,0.51708,0.44625,0.45792,0.26658,1.37368,1.44953,1.36057,0.000791767,0.000791767,0.000791767
8,1210.47,1.32253,1.28763,1.30184,0.59956,0.46445,0.49848,0.29649,1.35504,1.28873,1.33405,0.000784894,0.000784894,0.000784894
9,1360.78,1.29661,1.25611,1.29599,0.58615,0.48538,0.50859,0.29934,1.33754,1.25066,1.32684,0.000778022,0.000778022,0.000778022
10,1511.13,1.30118,1.21257,1.28725,0.60693,0.49844,0.52282,0.31137,1.30829,1.21412,1.30863,0.00077115,0.00077115,0.00077115
11,1661.3,1.28617,1.2126,1.278,0.59167,0.52639,0.55775,0.34077,1.28673,1.16048,1.29181,0.000764278,0.000764278,0.000764278
12,1811.53,1.26415,1.17538,1.26074,0.63398,0.51713,0.56137,0.34179,1.25375,1.14185,1.2614,0.000757405,0.000757405,0.000757405
